DonorId,FiscalYear,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
34,2010,10000,0,02-2010,45
65,2010,1000000,0,02-2010,45
94,2010,99959,0,02-2010,45
110,2010,5000,0,02-2010,45
114,2010,70028,0,02-2010,45
118,2010,20000,0,02-2010,45
128,2010,90000,0,02-2010,45
180,2010,27314,0,02-2010,45
12,2010,100000,0,03-2010,45
15,2010,499978,0,03-2010,45
52,2010,3669545,0,03-2010,45
64,2010,6747638,0,03-2010,45
82,2010,50000,0,03-2010,45
86,2010,1848392,0,03-2010,18
86,2010,3168692,0,03-2010,27
86,2010,3828842,0,03-2010,80
151,2010,100000,0,03-2010,45
158,2010,674763,0,03-2010,22
162,2010,1112615,0,03-2010,18
162,2010,9737674,0,03-2010,27
162,2010,13907975,0,03-2010,80
180,2010,36532,0,03-2010,45
29,2010,384865,0,04-2010,45
46,2010,950000,0,04-2010,45
60,2010,1999977,0,04-2010,45
95,2010,1987,0,04-2010,45
129,2010,15075376,0,04-2010,80
158,2010,942126,0,04-2010,73
183,2010,2293577,0,04-2010,18
183,2010,47149500,0,04-2010,27
188,2010,130000,0,04-2010,45
32,2010,161186,0,05-2010,45
126,2010,1001000,0,05-2010,45
129,2010,3365273,0,05-2010,27
162,2010,3696599,0,05-2010,36
180,2010,80319,0,05-2010,45
29,2010,778622,0,06-2010,45
109,2010,610500,0,06-2010,27
129,2010,747030,0,06-2010,36
158,2010,5778180,0,06-2010,27
158,2010,1221001,0,06-2010,36
158,2010,7991100,0,06-2010,80
180,2010,143,0,06-2010,45
52,2010,4317416,0,07-2010,87
124,2010,5000000,0,07-2010,27
124,2010,9790210,0,07-2010,36
124,2010,7342657,0,07-2010,87
129,2010,760184,0,07-2010,73
162,2010,1358475,0,07-2010,87
162,2010,951859,0,07-2010,105
175,2010,100000,0,07-2010,45
13,2010,1803000,0,08-2010,74
15,2010,1999956,0,08-2010,74
28,2010,103040,0,08-2010,74
30,2010,2543,0,08-2010,45
63,2010,2617200,0,08-2010,87
86,2010,1291672,0,08-2010,87
129,2010,1459715,0,08-2010,74
180,2010,9176,0,08-2010,45
180,2010,91743,0,08-2010,74
183,2010,7824726,0,08-2010,74
39,2010,5000,0,09-2010,74
52,2010,876650,0,09-2010,105
81,2010,20000000,0,09-2010,74
86,2010,127064,0,09-2010,45
114,2010,12706,0,09-2010,74
124,2010,1000000,0,09-2010,87
125,2010,1454880,0,09-2010,74
129,2010,1700000,0,09-2010,87
162,2010,1200000,0,09-2010,87
180,2010,2329,0,09-2010,45
180,2010,21320,0,09-2010,74
183,2010,6100000,0,09-2010,87
86,2010,1203990,0,10-2010,18
86,2010,1203990,0,10-2010,80
124,2010,2097902,0,10-2010,18
158,2010,680272,0,10-2010,73
163,2010,312157,0,10-2010,87
180,2010,663,0,10-2010,74
94,2010,99959,0,11-2010,74
124,2010,5314685,0,11-2010,80
155,2010,277777,0,11-2010,45
180,2010,682,0,11-2010,45
180,2010,101,0,11-2010,74
22,2010,3346720,0,12-2010,27
86,2010,1203990,0,12-2010,27
88,2010,2618000,0,12-2010,87
124,2010,2097902,0,12-2010,27
124,2010,700000,0,12-2010,87
124,2010,4895100,0,12-2010,80
129,2010,1005111,0,12-2010,22
129,2010,1751319,0,12-2010,74
129,2010,4813447,0,12-2010,80
162,2010,2886174,0,12-2010,18
162,2010,437849,0,12-2010,22
162,2010,5772374,0,12-2010,27
163,2010,624024,0,12-2010,87
180,2010,20,0,12-2010,45
180,2010,7226,0,12-2010,74
183,2010,31250000,0,12-2010,27
183,2010,792393,0,12-2010,105
30,2011,61337,0,01-2011,45
52,2011,1734755,0,01-2011,87
52,2011,2995594,0,01-2011,80
183,2011,8267387,0,01-2011,87
183,2011,62020000,0,01-2011,80
13,2011,1036272,0,01-2012,105
129,2011,5313466,0,02-2011,87
180,2011,25493,0,02-2011,74
183,2011,16974300,0,02-2011,87
13,2011,4062400,0,03-2011,80
46,2011,400000,0,03-2011,45
63,2011,2811000,0,03-2011,87
86,2011,2074922,0,03-2011,18
86,2011,2737186,0,03-2011,27
86,2011,1366672,0,03-2011,87
86,2011,2737186,0,03-2011,80
129,2011,5273184,0,03-2011,27
129,2011,1242325,0,03-2011,36
129,2011,17689722,0,03-2011,80
158,2011,686813,0,03-2011,22
180,2011,1000,0,03-2011,74
183,2011,8025682,0,03-2011,36
183,2011,16235000,0,03-2011,80
13,2011,3098400,0,04-2011,87
119,2011,70316,0,04-2011,74
162,2011,17442675,0,04-2011,27
162,2011,3754725,0,04-2011,87
13,2011,4268000,0,05-2011,27
124,2011,5000000,0,05-2011,27
124,2011,6000000,0,05-2011,87
162,2011,4874075,0,05-2011,18
162,2011,28378774,0,05-2011,80
162,2011,1275600,0,05-2011,73
183,2011,1480263,0,05-2011,105
86,2011,1276823,0,06-2011,18
86,2011,1986169,0,06-2011,27
86,2011,567476,0,06-2011,87
86,2011,1276823,0,06-2011,80
147,2011,14245,0,06-2011,22
158,2011,6760950,0,06-2011,27
158,2011,9350250,0,06-2011,80
163,2011,588858,0,06-2011,87
52,2011,5704181,0,07-2011,87
129,2011,877712,0,07-2011,36
129,2011,912290,0,07-2011,74
129,2011,5063718,0,07-2011,80
162,2011,791550,0,07-2011,105
183,2011,16004000,0,07-2011,27
15,2011,100000,0,08-2011,87
52,2011,3687027,0,08-2011,36
88,2011,709610,0,08-2011,36
124,2011,6875000,0,08-2011,36
163,2011,623441,0,08-2011,36
183,2011,9787928,0,08-2011,36
183,2011,6530400,0,08-2011,87
52,2011,3762439,0,09-2011,87
73,2011,75000,0,09-2011,87
124,2011,12500000,0,09-2011,87
124,2011,8125000,0,09-2011,80
162,2011,6159600,0,09-2011,36
116,2011,10308,0,10-2010,45
52,2011,1849246,0,10-2011,36
86,2011,682128,0,10-2011,36
158,2011,682128,0,10-2011,22
158,2011,682128,0,10-2011,36
158,2011,682128,0,10-2011,73
163,2011,2785515,0,10-2011,87
86,2011,273597,0,11-2011,105
129,2011,950787,0,11-2011,74
140,2011,10000,0,11-2011,87
163,2011,1160092,0,11-2011,36
183,2011,958466,0,11-2011,105
86,2011,280000,0,12-2011,36
86,2011,1469694,0,12-2011,87
109,2011,652200,0,12-2011,27
124,2011,200000,0,12-2011,87
124,2011,6250000,0,12-2011,80
129,2011,1011518,0,12-2011,22
129,2011,1672097,0,12-2011,27
129,2011,10346281,0,12-2011,87
129,2011,1701438,0,12-2011,73
135,2011,297920,0,12-2011,87
162,2011,2199674,0,12-2011,67
162,2011,4531375,0,12-2011,87
162,2011,1440611,0,12-2011,105
163,2011,542888,0,12-2011,105
180,2011,93,0,12-2011,36
183,2011,19371250,0,12-2011,27
183,2011,876435,0,12-2011,87
22,2012,5222400,0,01-2012,27
162,2012,5729974,0,01-2012,88
163,2012,1280683,0,01-2012,87
163,2012,109769,0,01-2013,36
183,2012,4846526,0,01-2013,74
52,2012,5332480,0,02-2012,87
183,2012,12558869,0,02-2012,36
183,2012,25086400,0,02-2012,87
52,2012,902391,0,02-2013,36
52,2012,1082836,0,02-2013,73
13,2012,4243200,0,03-2012,88
13,2012,2121600,0,03-2012,80
63,2012,3990600,0,03-2012,87
86,2012,1817194,0,03-2012,18
86,2012,2466192,0,03-2012,27
86,2012,2466192,0,03-2012,87
86,2012,1168196,0,03-2012,88
86,2012,1168196,0,03-2012,80
129,2012,6053792,0,03-2012,88
129,2012,10735343,0,03-2012,80
183,2012,23770500,0,03-2012,88
183,2012,1582278,0,03-2012,105
129,2012,5173727,0,04-2012,27
162,2012,11128474,0,04-2012,88
183,2012,25091325,0,04-2012,80
52,2012,5123825,0,05-2012,88
52,2012,3415883,0,05-2012,80
86,2012,264900,0,05-2012,105
162,2012,1431874,0,05-2012,18
13,2012,4052400,0,06-2012,87
52,2012,3295143,0,06-2012,80
86,2012,1750686,0,06-2012,88
86,2012,1750686,0,06-2012,80
129,2012,820417,0,06-2012,36
162,2012,15735474,0,06-2012,27
183,2012,27256250,0,06-2012,27
98,2012,500000,0,07-2012,105
124,2012,8571429,0,07-2012,88
129,2012,3288361,0,07-2012,27
162,2012,6852934,0,07-2012,87
162,2012,12141375,0,07-2012,80
162,2012,1131120,0,07-2012,73
67,2012,1222700,0,08-2012,87
86,2012,1825472,0,08-2012,87
109,2012,307425,0,08-2012,27
163,2012,510204,0,08-2012,36
163,2012,520768,0,08-2012,87
183,2012,1883830,0,08-2012,105
13,2012,5102500,0,09-2012,87
13,2012,5102500,0,09-2012,88
52,2012,1727782,0,09-2012,105
86,2012,1865993,0,09-2012,27
86,2012,627352,0,09-2012,36
86,2012,250941,0,09-2012,105
86,2012,62735,0,09-2012,73
124,2012,6428571,0,09-2012,36
129,2012,874283,0,09-2012,74
129,2012,3474001,0,09-2012,87
183,2012,8377950,0,09-2012,80
124,2012,8500000,0,10-2012,87
162,2012,3016974,0,10-2012,27
183,2012,25924800,0,10-2012,88
180,2012,302,0,11-2011,45
86,2012,465673,0,11-2012,36
158,2012,3833100,0,11-2012,27
158,2012,3833100,0,11-2012,80
162,2012,4486132,0,11-2012,36
163,2012,537634,0,11-2012,105
13,2012,1047200,0,12-2012,67
67,2012,1307000,0,12-2012,87
86,2012,648336,0,12-2012,18
86,2012,4572308,0,12-2012,27
124,2012,11428571,0,12-2012,88
124,2012,5000000,0,12-2012,80
129,2012,533789,0,12-2012,22
129,2012,6052837,0,12-2012,88
158,2012,649350,0,12-2012,22
158,2012,649350,0,12-2012,36
158,2012,649350,0,12-2012,73
162,2012,1486775,0,12-2012,18
162,2012,2223874,0,12-2012,88
162,2012,2965149,0,12-2012,80
162,2012,1498231,0,12-2012,105
163,2012,431965,0,12-2012,105
163,2012,539956,0,12-2012,73
183,2012,17640700,0,12-2012,27
3,2013,1999978,0,01-2013,87
22,2013,3920700,0,01-2013,27
80,2013,100000,0,01-2013,73
180,2013,200,0,01-2013,45
183,2013,14274000,0,01-2013,87
52,2013,1859531,0,01-2014,105
163,2013,2375422,0,01-2014,73
183,2013,9463722,0,02-2013,36
52,2013,3485474,0,03-2013,88
162,2013,12335973,0,03-2013,27
183,2013,21162400,0,03-2013,88
183,2013,20871200,0,03-2013,80
183,2013,2686567,0,03-2013,105
86,2013,1271970,0,04-2013,18
86,2013,2543970,0,04-2013,27
86,2013,2543970,0,04-2013,87
86,2013,1907970,0,04-2013,88
86,2013,1907970,0,04-2013,80
109,2013,327350,0,04-2013,27
129,2013,5218266,0,04-2013,27
162,2013,13997672,0,04-2013,88
13,2013,2049400,0,05-2013,27
13,2013,2049400,0,05-2013,88
63,2013,3895200,0,05-2013,87
86,2013,261780,0,05-2013,105
129,2013,10328266,0,05-2013,80
162,2013,2978572,0,05-2013,18
162,2013,12997322,0,05-2013,80
129,2013,8547008,0,06-2013,88
163,2013,523012,0,06-2013,36
163,2013,532708,0,06-2013,87
183,2013,17116000,0,06-2013,27
13,2013,3689200,0,07-2013,87
13,2013,2766900,0,07-2013,88
22,2013,1325200,0,07-2013,27
52,2013,1765088,0,07-2013,105
67,2013,195567,0,07-2013,73
129,2013,497993,0,07-2013,22
129,2013,829988,0,07-2013,36
162,2013,7222347,0,07-2013,87
52,2013,3553218,0,08-2013,87
52,2013,3568815,0,08-2013,88
52,2013,3575898,0,08-2013,80
80,2013,100000,0,08-2013,73
86,2013,663129,0,08-2013,36
86,2013,1305070,0,08-2013,88
86,2013,1305070,0,08-2013,80
162,2013,611192,0,08-2013,22
162,2013,2291972,0,08-2013,74
162,2013,2291972,0,08-2013,105
162,2013,458394,0,08-2013,73
183,2013,1908396,0,08-2013,45
183,2013,24779064,0,08-2013,88
124,2013,1875000,0,09-2013,27
129,2013,1681908,0,09-2013,74
158,2013,662251,0,09-2013,22
158,2013,331125,0,09-2013,45
158,2013,397350,0,09-2013,73
183,2013,4651162,0,09-2013,74
22,2013,4060500,0,10-2013,27
124,2013,1250000,0,10-2013,36
124,2013,5000000,0,10-2013,88
67,2013,1320150,0,11-2013,87
67,2013,206611,0,11-2013,73
86,2013,1331170,0,11-2013,18
86,2013,2443470,0,11-2013,27
86,2013,2036220,0,11-2013,87
86,2013,137741,0,11-2013,73
124,2013,1250000,0,11-2013,18
124,2013,1562500,0,11-2013,87
183,2013,16176000,0,11-2013,27
124,2013,1250000,0,12-2013,18
124,2013,2250000,0,12-2013,80
129,2013,1623740,0,12-2013,27
129,2013,1614481,0,12-2013,105
129,2013,1614481,0,12-2013,73
162,2013,1516974,0,12-2013,18
162,2013,1515399,0,12-2013,36
162,2013,757699,0,12-2013,45
162,2013,757699,0,12-2013,67
162,2013,1515399,0,12-2013,74
162,2013,2582955,0,12-2013,87
162,2013,1518975,0,12-2013,80
163,2013,771775,0,12-2013,36
183,2013,14703300,0,12-2013,87
183,2013,31072600,0,12-2013,88
183,2013,16368000,0,12-2013,80
183,2013,1140065,0,12-2013,105
82,2013,499111,0,12-2015,91
52,2014,2746267,0,01-2014,18
52,2014,3825664,0,01-2014,87
80,2014,130000,0,01-2014,73
86,2014,2670770,0,01-2014,18
35,2014,4175016,0,01-2015,108
52,2014,1580777,0,01-2015,105
163,2014,368421,0,01-2015,22
163,2014,524109,0,01-2015,108
163,2014,1013171,0,01-2015,105
163,2014,1265217,0,01-2015,73
13,2014,2625900,0,02-2014,88
162,2014,12330374,0,02-2014,88
183,2014,9951,0,02-2014,80
22,2014,1390500,0,03-2014,27
22,2014,4024725,0,03-2014,88
52,2014,2802900,0,03-2014,18
52,2014,4671500,0,03-2014,88
52,2014,1868600,0,03-2014,80
52,2014,1845118,0,03-2014,105
67,2014,967450,0,03-2014,88
86,2014,2724370,0,03-2014,27
86,2014,2724370,0,03-2014,87
86,2014,2043270,0,03-2014,88
86,2014,1362170,0,03-2014,80
98,2014,300000,0,03-2014,105
124,2014,2779000,0,03-2014,18
129,2014,2479921,0,03-2014,18
129,2014,6686135,0,03-2014,88
183,2014,8254000,0,03-2014,1
183,2014,14946300,0,03-2014,27
183,2014,833333,0,03-2014,67
183,2014,3000000,0,03-2014,105
109,2014,344025,0,04-2014,27
129,2014,3331358,0,04-2014,27
129,2014,8389933,0,04-2014,80
163,2014,451824,0,04-2014,18
185,2014,1087230,0,04-2014,1
109,2014,341525,0,05-2014,18
162,2014,11970374,0,05-2014,1
162,2014,10559474,0,05-2014,80
163,2014,569605,0,05-2014,80
13,2014,371040,0,06-2014,1
13,2014,1881400,0,06-2014,67
52,2014,3645444,0,06-2014,88
98,2014,1000000,0,06-2014,1
124,2014,9511600,0,06-2014,88
129,2014,1340450,0,06-2014,1
180,2014,4108,0,06-2014,36
183,2014,1671681,0,06-2014,18
183,2014,42510000,0,06-2014,88
86,2014,679347,0,07-2014,36
124,2014,1367500,0,07-2014,18
124,2014,2717391,0,07-2014,105
129,2014,2432860,0,07-2014,18
129,2014,483932,0,07-2014,22
129,2014,3220839,0,07-2014,88
162,2014,3667225,0,07-2014,18
162,2014,583000,0,07-2014,22
162,2014,1457500,0,07-2014,36
162,2014,1457500,0,07-2014,45
162,2014,728750,0,07-2014,67
162,2014,3643750,0,07-2014,74
162,2014,8016225,0,07-2014,87
162,2014,4372500,0,07-2014,105
162,2014,728750,0,07-2014,73
183,2014,425170,0,07-2014,67
52,2014,1776924,0,08-2014,87
52,2014,982912,0,08-2014,73
86,2014,1317970,0,08-2014,18
86,2014,1317970,0,08-2014,87
86,2014,1976970,0,08-2014,88
86,2014,133689,0,08-2014,73
158,2014,1169786,0,08-2014,91
158,2014,501336,0,08-2014,108
162,2014,1445000,0,08-2014,73
163,2014,653808,0,08-2014,18
163,2014,989010,0,08-2014,36
163,2014,769230,0,08-2014,73
124,2014,4605263,0,09-2014,27
163,2014,1522235,0,09-2014,87
183,2014,8252000,0,09-2014,1
183,2014,11398800,0,09-2014,80
183,2014,995024,0,09-2014,105
13,2014,4383984,0,10-2014,87
13,2014,4383984,0,10-2014,88
109,2014,317662,0,10-2014,91
124,2014,1268400,0,10-2014,87
124,2014,3154750,0,10-2014,80
141,2014,19999960,0,10-2014,108
158,2014,317525,0,10-2014,22
158,2014,317662,0,10-2014,73
162,2014,17588975,0,10-2014,88
163,2014,315789,0,10-2014,73
183,2014,3246753,0,10-2014,36
183,2014,1659000,0,10-2014,45
22,2014,2251800,0,11-2014,88
52,2014,1004049,0,11-2014,55
52,2014,2342782,0,11-2014,108
64,2014,622665,0,11-2014,108
67,2014,1255980,0,11-2014,87
67,2014,6217480,0,11-2014,108
67,2014,2504600,0,11-2014,105
67,2014,627500,0,11-2014,73
81,2014,500000,0,11-2014,51
81,2014,500000,0,11-2014,55
81,2014,1000000,0,11-2014,91
86,2014,1849620,0,11-2014,27
86,2014,1849620,0,11-2014,80
124,2014,12542000,0,11-2014,18
129,2014,1471437,0,11-2014,88
129,2014,1471437,0,11-2014,80
162,2014,671400,0,11-2014,36
162,2014,671400,0,11-2014,73
163,2014,1037775,0,11-2014,88
163,2014,518081,0,11-2014,80
183,2014,15676000,0,11-2014,27
183,2014,400000,0,11-2014,67
183,2014,9771986,0,12-2013,36
22,2014,4865200,0,12-2014,27
63,2014,1860600,0,12-2014,87
67,2014,1239157,0,12-2014,51
67,2014,2478314,0,12-2014,55
67,2014,990400,0,12-2014,88
67,2014,2478314,0,12-2014,91
67,2014,1239157,0,12-2014,108
98,2014,5000000,0,12-2014,1
124,2014,6153500,0,12-2014,88
129,2014,1309125,0,12-2014,27
129,2014,688136,0,12-2014,36
129,2014,2064409,0,12-2014,108
162,2014,7933175,0,12-2014,27
162,2014,1321592,0,12-2014,36
162,2014,660796,0,12-2014,51
162,2014,660796,0,12-2014,55
162,2014,5022052,0,12-2014,74
162,2014,2644375,0,12-2014,87
162,2014,3305475,0,12-2014,88
162,2014,1321592,0,12-2014,91
162,2014,1982389,0,12-2014,108
163,2014,509164,0,12-2014,18
163,2014,517705,0,12-2014,87
163,2014,1011736,0,12-2014,88
163,2014,1304347,0,12-2014,108
163,2014,361197,0,12-2014,73
183,2014,9375600,0,12-2014,1
183,2014,1579778,0,12-2014,36
183,2014,10975300,0,12-2014,87
183,2014,10938200,0,12-2014,80
183,2014,5329153,0,12-2014,108
183,2014,3918495,0,12-2014,105
52,2015,3116235,0,01-2015,1
52,2015,5453412,0,01-2015,87
183,2015,20362050,0,01-2015,88
22,2015,4067245,0,01-2016,51
22,2015,4067245,0,01-2016,55
22,2015,4067245,0,01-2016,91
22,2015,5558568,0,01-2016,108
52,2015,2928684,0,01-2016,36
80,2015,750000,0,01-2016,55
183,2015,487407,0,01-2016,67
52,2015,2285226,0,02-2015,80
158,2015,655737,0,02-2016,22
158,2015,546448,0,02-2016,91
158,2015,546448,0,02-2016,108
158,2015,546448,0,02-2016,73
163,2015,1798561,0,02-2016,91
86,2015,3255570,0,03-2015,18
109,2015,264450,0,03-2015,27
162,2015,6566659,0,03-2015,88
162,2015,6336249,0,03-2015,80
183,2015,374812,0,03-2015,67
13,2015,3823480,0,04-2015,1
67,2015,1091580,0,04-2015,87
67,2015,1091580,0,04-2015,88
67,2015,1091580,0,04-2015,80
86,2015,1106194,0,04-2015,36
86,2015,3255570,0,04-2015,88
86,2015,1627770,0,04-2015,80
86,2015,541711,0,04-2015,105
86,2015,221238,0,04-2015,73
98,2015,200000,0,04-2015,105
111,2015,500000,0,04-2015,91
124,2015,2232000,0,04-2015,27
124,2015,5346500,0,04-2015,88
162,2015,8073705,0,04-2015,1
162,2015,477042,0,04-2015,22
162,2015,596302,0,04-2015,45
162,2015,1431127,0,04-2015,74
162,2015,1192605,0,04-2015,91
162,2015,3577817,0,04-2015,105
162,2015,596302,0,04-2015,73
163,2015,1047778,0,04-2015,80
52,2015,1494985,0,05-2015,18
52,2015,741179,0,05-2015,55
52,2015,1494985,0,05-2015,87
52,2015,2985306,0,05-2015,88
52,2015,2986447,0,05-2015,80
52,2015,1482359,0,05-2015,105
86,2015,1103970,0,05-2015,87
124,2015,4429852,0,05-2015,18
129,2015,6622430,0,05-2015,80
163,2015,2143622,0,05-2015,105
183,2015,2944207,0,05-2015,18
183,2015,3081664,0,05-2015,105
13,2015,2320097,0,06-2015,1
13,2015,770386,0,06-2015,67
22,2015,1677852,0,06-2015,51
22,2015,2237136,0,06-2015,55
22,2015,2237136,0,06-2015,91
22,2015,2796420,0,06-2015,73
109,2015,281452,0,06-2015,18
109,2015,281375,0,06-2015,91
129,2015,1147927,0,06-2015,1
129,2015,6398917,0,06-2015,88
129,2015,1910584,0,06-2015,91
162,2015,2421115,0,06-2015,18
162,2015,4721198,0,06-2015,87
183,2015,381679,0,06-2015,67
183,2015,15710000,0,06-2015,88
64,2015,552486,0,07-2015,108
67,2015,1118568,0,07-2015,105
98,2015,500000,0,07-2015,91
100,2015,2500000,0,07-2015,91
124,2015,2237136,0,07-2015,105
129,2015,742746,0,07-2015,18
129,2015,1237910,0,07-2015,27
162,2015,943600,0,07-2015,49
162,2015,589750,0,07-2015,67
162,2015,589750,0,07-2015,74
162,2015,581600,0,07-2015,88
162,2015,1179500,0,07-2015,91
162,2015,1356425,0,07-2015,105
163,2015,1053740,0,07-2015,36
163,2015,1044144,0,07-2015,87
183,2015,7837106,0,07-2015,105
13,2015,2313279,0,08-2015,88
22,2015,2205832,0,08-2015,88
67,2015,2732240,0,08-2015,49
67,2015,1639344,0,08-2015,73
81,2015,1000000,0,08-2015,91
162,2015,7016983,0,08-2015,27
162,2015,1155814,0,08-2015,87
183,2015,9346800,0,08-2015,1
183,2015,14062500,0,08-2015,49
124,2015,4499437,0,09-2015,49
124,2015,2218734,0,09-2015,80
162,2015,2895262,0,09-2015,27
183,2015,3076923,0,09-2015,74
183,2015,9157200,0,09-2015,88
183,2015,9870900,0,09-2015,80
183,2015,6615384,0,09-2015,108
183,2015,4615384,0,09-2015,105
